"CoDist","DistName","CoDistSch","SchName","Grade","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","Ftotal","Mtotal","TOTAL"
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","K",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","03",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,2.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","04",0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,2.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","05",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","06",1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","07",1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,2.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","08",0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,5.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","09",0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,2.00,3.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","10",1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,5.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","11",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0001","EDUCATIONAL SERVICE UNIT 1","00-0001-005","TOWER SCHOOL","12",2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-002","ECSE-PLATTEVIEW CENTRAL","PK",9.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,12.00,21.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-005","ECSE-VALLEY","PK",23.00,23.00,0.00,0.00,2.00,2.00,0.00,0.00,2.00,0.00,27.00,25.00,52.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-006","ECSE - GRETNA ELEMENTARY","PK",29.00,48.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,31.00,49.00,80.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-007","ECSE - WESTMONT ELEMENTARY","PK",5.00,12.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,12.00,18.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-008","ECSE - ELKHORN","PK",7.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,10.00,17.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-009","ECSE - ARLINGTON","PK",6.00,7.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,8.00,14.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-010","ECSE-WEEPING WATER HEADSTART","PK",8.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,10.00,18.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","02",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","03",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","04",1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,6.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","05",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","06",0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,9.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","07",1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,6.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","08",1.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,7.00,8.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","09",0.00,6.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,7.00,8.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","10",1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,5.00,6.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","11",0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.00,6.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-011","BROOK VALLEY SCHOOL","12",0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-013","ECSE-LOUISVILLE","PK",11.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,9.00,20.00
"00-0003","EDUCATIONAL SERVICE UNIT 3","00-0003-014","ECSE-FT CALHOUN","PK",5.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,12.00,17.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-001","MENTALLY HANDICAPPED","06",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-001","MENTALLY HANDICAPPED","07",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-001","MENTALLY HANDICAPPED","10",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-001","MENTALLY HANDICAPPED","11",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-001","MENTALLY HANDICAPPED","12",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,0.00,4.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-004","PRESCHOOL PROGRAM","PK",3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,8.00,11.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-005","MULTI-HANDICAPPED","05",0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-005","MULTI-HANDICAPPED","06",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-005","MULTI-HANDICAPPED","09",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-005","MULTI-HANDICAPPED","10",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-005","MULTI-HANDICAPPED","11",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","01",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","02",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","06",1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","07",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","08",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","09",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","10",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","11",1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00
"00-0004","EDUCATIONAL SERVICE UNIT 4","00-0004-006","NE CENTER FOR EDUC OF BLIND","12",1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00
"00-0005","EDUCATIONAL SERVICE UNIT 5","00-0005-001","EDUCATIONAL SERVICE UNIT 5","PK",8.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,9.00,12.00,21.00
"00-0007","EDUCATIONAL SERVICE UNIT 7","00-0007-012","COLUMBUS EARLY LEARNING CENTER","PK",1.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,6.00,7.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","PK",5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,9.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","K",2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","01",1.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,4.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","02",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","03",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","04",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","05",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","07",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","08",0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,3.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","09",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","10",0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-001","EASTERN LEARNING CENTER","11",1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","PK",2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,4.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","K",0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","03",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","05",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","07",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","08",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","09",1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","10",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","11",3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,6.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","12",2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","PK",1.00,7.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,8.00,9.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","K",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","01",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","02",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
