CoDist	DistName	CoDistSch	SchName	Grade	FWNH	MWNH	FAPI	MAPI	FH	MH	FAIA	MAIA	FBNH	MBNH	Female	Male	Total
00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	01	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	02	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	04	0	2	0	0	0	0	1	1	0	0	1	3	4

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	05	0	0	0	0	0	0	1	1	0	0	1	1	2

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	06	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	07	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	08	1	1	0	0	0	0	0	1	0	0	1	2	3

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	09	0	1	0	0	0	0	0	2	0	0	0	3	3

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	10	0	2	0	0	0	0	0	0	1	0	1	2	3

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	11	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0001	EDUCATIONAL SERVICE UNIT 01	00-0001-005	TOWER SCHOOL	12	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0003	EDUCATIONAL SERVICE UNIT 03	00-0003-002	ECSE-PLATTEVIEW CENTRAL	PK	12	11	0	0	0	0	0	0	0	0	12	11	23

00-0003	EDUCATIONAL SERVICE UNIT 03	00-0003-005	ECSE-VALLEY	PK	16	18	0	1	0	1	0	0	2	0	18	20	38

00-0003	EDUCATIONAL SERVICE UNIT 03	00-0003-006	ECSE - GRETNA ELEMENTARY	PK	30	48	0	0	1	1	0	0	0	0	31	49	80

00-0003	EDUCATIONAL SERVICE UNIT 03	00-0003-007	ECSE - WESTMONT ELEMENTARY	PK	9	12	0	0	0	0	0	0	0	0	9	12	21

00-0003	EDUCATIONAL SERVICE UNIT 03	00-0003-008	ECSE - ELKHORN	PK	6	8	1	1	1	0	0	0	0	1	8	10	18

