"DATAYEARS","COUNTY_NAME","CLASS_CODE","CLASS_LITERAL","DistrictName","COUNTY","DISTRICT","SCHOOL","SchoolName","GRADE_CODE","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","TOTAL","MALE","FEMALE"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","01","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","02","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","03","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","05","0","1","0","0","0","0","0","1","1","0","3","2","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","06","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","08","1","1","0","0","0","0","0","1","0","0","3","2","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","09","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","10","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","11","0","2","0","0","0","0","0","0","0","0","2","2","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 01","00","0001","005","TOWER SCHOOL","12","3","2","0","0","0","0","0","0","0","0","5","2","3"
