"DATAYEARS"	"Co-Dist"	"DistrictName"	"COUNTY_NAME"	"CLASS_CODE"	"DISTRICT_TYPE_CODE"	"AGENCYID"	"COUNTY"	"DISTRICT"	"SCHOOL"	"SchoolName"	"GRADE_CODE"	"FWNH"	"MWNH"	"FAPI"	"MAPI"	"FH"	"MH"	"FAIA"	"MAIA"	"FBNH"	"MBNH"	"MALE"	"FEMALE"	"TOTAL"
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"01"	0	0	0	0	0	0	0	0	0	0	0	0	0
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"02"	1	0	0	0	0	0	0	0	0	0	0	1	1
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"03"	0	2	0	0	0	0	0	0	0	0	2	0	2
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"04"	0	1	0	0	0	0	0	0	0	0	1	0	1
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"05"	0	0	0	0	0	0	0	1	0	0	1	0	1
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"06"	0	1	0	0	0	0	0	1	1	0	2	1	3
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"07"	0	1	0	0	0	0	0	0	0	0	1	0	1
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"08"	0	1	0	0	0	0	0	2	0	0	3	0	3
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"09"	1	1	0	0	0	0	0	0	0	0	1	1	2
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"10"	1	1	0	0	0	0	0	0	0	0	1	1	2
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"11"	0	3	0	0	0	0	0	0	0	0	3	0	3
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"12"	3	5	0	0	0	0	0	0	0	0	5	3	8
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"K "	0	1	0	0	0	0	0	0	0	0	1	0	1
"20052006"	"00-0001"	"EDUCATIONAL SERVICE UNIT 01   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0001-005"	"00"	"0001"	"005"	"TOWER SCHOOL                  "	"PK"	0	0	0	0	0	0	0	0	0	0	0	0	0
"20052006"	"00-0003"	"EDUCATIONAL SERVICE UNIT 03   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0003-011"	"00"	"0003"	"011"	"BROOK VALLEY SCHOOL           "	"01"	2	2	0	0	0	0	0	0	0	0	2	2	4
"20052006"	"00-0003"	"EDUCATIONAL SERVICE UNIT 03   "	"EDUCATIONAL SERVICE UNITS"	"0"	"ESU"	"00-0003-011"	"00"	"0003"	"011"	"BROOK VALLEY SCHOOL           "	"02"	1	1	0	0	0	0	0	0	0	0	1	1	2
