"DATAYEARS","co-dist","DISTNAME","COUNTY_NAME","CLASS_CODE","DISTRICT_TYPE_CODE","AGENCYID","COUNTY","DISTRICT","SCHOOL","SchoolName","grade_code","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","MALE","FEMALE","TOTAL"
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","PK",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","K ",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","01",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","02",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","03",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","04",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","05",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","06",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","07",7,14,0,0,0,0,0,0,0,0,14,7,21
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","08",10,9,0,0,0,0,0,0,0,0,9,10,19
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","09",10,18,0,0,0,0,0,0,0,0,18,10,28
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","10",14,15,0,0,0,0,0,0,0,0,15,14,29
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","11",9,15,0,0,0,0,0,0,0,0,15,9,24
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-001","01","0003","001","KENESAW SECONDARY SCHOOL      ","12",8,10,0,0,0,0,0,0,0,0,10,8,18
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","PK",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","K ",5,10,0,0,0,0,0,0,0,0,10,5,15
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","01",9,10,0,0,0,0,0,0,0,0,10,9,19
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","02",4,9,0,0,0,0,0,0,0,0,9,4,13
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","03",12,4,0,0,0,0,0,0,0,0,4,12,16
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","04",9,11,0,0,0,0,0,0,0,0,11,9,20
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","05",8,10,0,0,0,0,0,0,0,0,10,8,18
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","06",10,8,0,0,0,0,0,0,0,0,8,10,18
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","07",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","08",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","09",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0003","KENESAW PUBLIC SCHOOLS        ","ADAMS","3","P","01-0003-002","01","0003","002","KENESAW ELEMENTARY SCHOOL     ","10",0,0,0,0,0,0,0,0,0,0,0,0,0
