DATAYEARS,Co-Dist,DistName,CLASS_CODE,COUNTY_NAME,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SchName,GRADE_CODE,FWNH,MWNH,FAPI,MAPI,FH,MH,FAIA,MAIA,FBNH,MBNH,Male,Female,TOTAL
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,01,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,02,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,03,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,04,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,05,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,06,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,07,9,12,0,0,0,0,0,0,0,0,12,9,21
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,08,7,14,0,1,0,0,0,0,0,0,15,7,22
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,09,12,11,0,0,0,0,1,0,0,0,11,13,24
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,10,12,18,0,0,0,0,0,0,0,0,18,12,30
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,11,16,11,0,1,0,0,0,0,0,0,12,16,28
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,12,10,13,0,0,1,0,0,0,0,0,13,11,24
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,01,4,9,0,0,0,0,0,0,0,0,9,4,13
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,02,9,10,0,0,0,0,0,0,0,0,10,9,19
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,03,5,9,0,0,0,0,0,0,0,0,9,5,14
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,04,11,4,0,0,0,0,0,0,0,0,4,11,15
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,05,9,9,0,0,0,0,0,0,0,0,9,9,18
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,06,6,10,0,0,0,0,1,0,0,0,10,7,17
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,08,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0003,KENESAW PUBLIC SCHOOLS        ,3,ADAMS,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,K ,12,5,0,0,0,0,0,0,0,0,5,12,17
