DATAYEARS,Co-Dist,DISTNAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SchoolName,GRADE_CODE,FWNH,MWNH,FAPI,MAPI,FH,MH,FAIA,MAIA,FBNH,MBNH,Male,Female,TOTAL
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,01,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,02,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,03,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,04,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,05,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,06,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,07,9,10,0,0,0,0,0,0,0,0,10,9,19
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,08,3,9,0,0,0,0,1,0,0,0,9,4,13
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,09,11,14,0,0,0,0,0,0,0,0,14,11,25
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,10,9,16,0,1,0,0,1,0,0,0,17,10,27
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,11,11,11,0,0,0,0,1,0,0,0,11,12,23
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,12,12,16,0,1,0,0,0,0,0,0,17,12,29
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,01,8,5,0,0,0,1,0,0,0,0,6,8,14
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,02,11,5,0,0,0,0,0,0,0,0,5,11,16
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,03,3,11,0,0,2,0,0,0,0,0,11,5,16
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,04,9,10,0,0,0,0,0,0,0,0,10,9,19
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,05,5,10,0,0,0,0,0,0,0,0,10,5,15
20092010,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,06,12,7,0,0,0,0,0,0,0,0,7,12,19
