DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,07,11,7,0,0,2,0,0,0,0,0,0,0,0,1,13,8,21
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,08,8,10,0,0,0,0,0,0,0,0,0,0,0,1,8,11,19
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,09,3,11,0,0,0,0,0,0,1,0,0,0,0,0,4,11,15
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,10,11,14,0,0,0,0,0,0,0,0,0,0,0,0,11,14,25
