DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,07,9,11,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,08,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,09,10,8,0,0,2,0,0,0,0,0,0,0,0,1,12,9,21
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,10,7,10,0,0,0,0,0,0,0,0,0,0,0,1,7,11,18
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,11,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,12,11,12,0,0,1,0,0,0,0,0,0,0,0,0,12,12,24
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-001,01,0003,001,KENESAW SECONDARY SCHOOL      ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,01,5,14,0,0,0,0,0,0,0,0,0,0,0,0,5,14,19
20122013,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,02,8,7,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
