Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
ST	19951996	00	0000	000	STATE OF NEBRASKA	31514	15.14	15.14	0.3527	19668.28					
ST	20002001	00	0000	000	STATE OF NEBRASKA	34258	16.03	16.03	0.4359	20479.84					
ST	20032004	00	0000	000	STATE OF NEBRASKA	38343	15.62	15.62	0.3689	23302.60	22783	237	199	51	33
ST	20042005	00	0000	000	STATE OF NEBRASKA	39441	15.53	15.53	0.3773	23536.03	22999	231	204	56	46
ST	20052006	00	0000	000	STATE OF NEBRASKA	40382	15.62	15.62	0.3908	23586.92	23031	226	227	64	39
SS	20002001	00	0000	000	SMALL SCHOOLS REPORT	25802	13.54	13.54	0.1258	640.82					
SS	20032004	00	0000	000	SMALL SCHOOLS REPORT	30425	14.18	14.18	0.1011	438.80					
NT	20032004	00	0000	000	NORTHERN TIER REPORT	32939	16.54	16.54	0.1750	194.75					
NT	20042005	00	0000	000	NORTHERN TIER REPORT	33917	16.40	16.40	0.3518	192.07					
SS	20042005	00	0000	000	SMALL SCHOOLS REPORT	30587	13.97	13.97	0.1915	341.43					
SS	20052006	00	0000	000	SMALL SCHOOLS REPORT	31562	14.80	14.80	0.2715	371.59					
NT	20052006	00	0000	000	NORTHERN TIER REPORT	35449	17.14	17.14	0.5744	190.77					
DI	19951996	01	0001	000	JUNIATA ELEMENTARY SCHOOL	28243	15.11	*	*	*					
DI	20002001	01	0001	000	JUNIATA ELEMENTARY SCHOOL	29406	15.00	*	*	*					
DI	20032004	01	0001	000	JUNIATA ELEMENTARY SCHOOL	33771	16.92	*	*	10.70	11	*	*	*	*
DI	20042005	01	0001	000	JUNIATA ELEMENTARY SCHOOL	34776	16.54	*	*	10.70	11	*	*	*	*
DI	20052006	01	0001	000	JUNIATA ELEMENTARY SCHOOL	38477	17.92	*	*	10.40	10	*	*	*	*
SC	19951996	01	0001	001	JUNIATA ELEMENTARY SCHOOL	28243	15.11	*	*	*					
SC	20002001	01	0001	001	JUNIATA ELEMENTARY SCHOOL	29406	15.00	*	*	*					
SC	20032004	01	0001	001	JUNIATA ELEMENTARY SCHOOL	33771	16.92	*	*	10.70	11	*	*	*	*
SC	20042005	01	0001	001	JUNIATA ELEMENTARY SCHOOL	34776	16.54	*	*	10.70	11	*	*	*	*
