Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
ST	19981999	00	0000	000	STATE OF NEBRASKA	32878	15.39	8391.00	0.3604	19907.64	*	*	*	*	*
ST	20032004	00	0000	000	STATE OF NEBRASKA	40090	15.59	7774.00	0.3800	19949.98	*	*	*	*	*
ST	20052006	00	0000	000	STATE OF NEBRASKA	40382	15.62	9610.00	0.3908	23586.92	23031	226	227	64	39
ST	20062007	00	0000	000	STATE OF NEBRASKA	42080	15.49	9833.00	0.3965	23839.21	23276	215	245	71	33
ST	20072008	00	0000	000	STATE OF NEBRASKA	43629	15.30	10242.00	0.4080	24193.13	23621	218	246	69	39
ST	20082009	00	0000	000	STATE OF NEBRASKA	44968	15.19	10712.00	0.4241	24331.56	23743	218	262	71	38
SS	20032004	00	0000	000	SMALL SCHOOLS REPORT	30820	14.18	46.00	0.1011	438.80	*	*	*	*	*
NT	20032004	00	0000	000	NORTHERN TIER REPORT	34479	16.54	35.00	0.1750	194.75	*	*	*	*	*
NT	20052006	00	0000	000	NORTHERN TIER REPORT	35449	17.14	112.00	0.5744	190.77	*	*	*	*	*
SS	20052006	00	0000	000	SMALL SCHOOLS REPORT	31562	14.80	104.00	0.2715	371.59	*	*	*	*	*
NT	20062007	00	0000	000	NORTHERN TIER REPORT	37560	17.91	160.00	0.8290	187.08	*	*	*	*	*
DI	19981999	01	0003	000	KENESAW PUBLIC SCHOOLS	29119	16.12	*	*	20.60	*	*	*	*	*
DI	20032004	01	0003	000	KENESAW PUBLIC SCHOOLS	33989	17.16	*	*	18.75	*	*	*	*	*
DI	20052006	01	0003	000	KENESAW PUBLIC SCHOOLS	34357	17.40	*	*	19.12	19	*	*	*	*
DI	20062007	01	0003	000	KENESAW PUBLIC SCHOOLS	35609	17.38	*	*	20.12	20	*	*	*	*
DI	20072008	01	0003	000	KENESAW PUBLIC SCHOOLS	36036	16.45	*	*	20.62	21	*	*	*	*
DI	20082009	01	0003	000	KENESAW PUBLIC SCHOOLS	37835	16.82	*	*	20.80	21	*	*	*	*
SC	19981999	01	0003	001	KENESAW SECONDARY SCHOOL	30448	17.58	*	*	10.90	*	*	*	*	*
SC	20032004	01	0003	001	KENESAW SECONDARY SCHOOL	44327	19.85	*	*	11.05	*	*	*	*	*
SC	20052006	01	0003	001	KENESAW SECONDARY SCHOOL	35252	18.50	*	*	10.97	11	*	*	*	*
SC	20062007	01	0003	001	KENESAW SECONDARY SCHOOL	37396	19.50	*	*	10.87	11	*	*	*	*
SC	20072008	01	0003	001	KENESAW SECONDARY SCHOOL	37360	17.47	*	*	11.37	11	*	*	*	*
SC	20082009	01	0003	001	KENESAW SECONDARY SCHOOL	38959	17.53	*	*	11.10	11	*	*	*	*
SC	19981999	01	0003	002	KENESAW ELEMENTARY SCHOOL	27368	14.77	*	*	*	*	*	*	*	*
SC	20032004	01	0003	002	KENESAW ELEMENTARY SCHOOL	54380	12.18	*	*	*	*	*	*	*	*
SC	20052006	01	0003	002	KENESAW ELEMENTARY SCHOOL	33200	15.00	*	*	*	*	*	*	*	*
SC	20062007	01	0003	002	KENESAW ELEMENTARY SCHOOL	33835	14.42	*	*	*	*	*	*	*	*
SC	20072008	01	0003	002	KENESAW ELEMENTARY SCHOOL	35663	15.92	*	*	*	*	*	*	*	*
SC	20082009	01	0003	002	KENESAW ELEMENTARY SCHOOL	36856	15.75	*	*	*	10	*	*	*	*
DI	19981999	01	0018	000	HASTINGS PUBLIC SCHOOLS	33798	17.32	102.00	0.3806	226.45	*	*	*	*	*
DI	20032004	01	0018	000	HASTINGS PUBLIC SCHOOLS	40843	16.01	107.00	0.4592	225.50	*	*	*	*	*
DI	20052006	01	0018	000	HASTINGS PUBLIC SCHOOLS	42326	16.42	125.00	0.5435	224.17	224	*	*	*	*
DI	20062007	01	0018	000	HASTINGS PUBLIC SCHOOLS	43795	16.49	122.00	0.5304	225.99	226	*	*	*	*
DI	20072008	01	0018	000	HASTINGS PUBLIC SCHOOLS	44738	15.82	127.00	0.5359	232.40	231	*	*	*	*
DI	20082009	01	0018	000	HASTINGS PUBLIC SCHOOLS	46889	15.63	130.00	0.5350	238.61	237	*	*	*	*
SC	19981999	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	33967	17.03	35.00	0.4930	68.66	*	*	*	*	*
SC	20032004	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	49509	16.71	40.00	0.5479	70.38	*	*	*	*	*
SC	20052006	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	43211	16.85	42.00	0.5833	69.88	70	*	*	*	*
SC	20062007	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	44848	17.52	41.00	0.5616	70.88	71	*	*	*	*
SC	20072008	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	45907	16.28	44.00	0.5867	72.59	73	*	*	*	*
SC	20082009	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	48673	17.16	42.00	0.5676	70.73	71	*	*	*	*
SC	19981999	01	0018	002	HASTINGS MIDDLE SCHOOL	31690	15.81	*	*	32.66	*	*	*	*	*
SC	20032004	01	0018	002	HASTINGS MIDDLE SCHOOL	47544	13.34	14.00	0.3684	34.51	*	*	*	*	*
SC	20052006	01	0018	002	HASTINGS MIDDLE SCHOOL	38525	13.29	18.00	0.4737	34.52	35	*	*	*	*
SC	20062007	01	0018	002	HASTINGS MIDDLE SCHOOL	39922	12.87	20.00	0.5263	34.54	35	*	*	*	*
SC	20072008	01	0018	002	HASTINGS MIDDLE SCHOOL	42993	14.82	19.00	0.5000	34.41	34	*	*	*	*
SC	20082009	01	0018	002	HASTINGS MIDDLE SCHOOL	45829	15.46	32.00	0.5714	48.79	49	*	*	*	*
SC	19981999	01	0018	003	ALCOTT ELEMENTARY SCHOOL	35111	19.36	13.00	0.5200	21.66	*	*	*	*	*
SC	20032004	01	0018	003	ALCOTT ELEMENTARY SCHOOL	46392	17.87	13.00	0.5652	22.00	*	*	*	*	*
SC	20052006	01	0018	003	ALCOTT ELEMENTARY SCHOOL	44952	20.13	15.00	0.6522	21.23	21	*	*	*	*
SC	20062007	01	0018	003	ALCOTT ELEMENTARY SCHOOL	44801	18.52	13.00	0.5652	20.85	21	*	*	*	*
SC	20072008	01	0018	003	ALCOTT ELEMENTARY SCHOOL	44791	15.39	12.00	0.5217	21.68	22	*	*	*	*
SC	20082009	01	0018	003	ALCOTT ELEMENTARY SCHOOL	45035	11.95	10.00	0.4545	19.66	20	*	*	*	*
SC	19981999	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	36180	20.56	*	*	21.35	*	*	*	*	*
SC	20032004	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	59568	16.93	10.00	0.3704	20.38	*	*	*	*	*
SC	20052006	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	43407	17.27	15.00	0.5769	22.32	22	*	*	*	*
SC	20062007	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	44165	16.04	14.00	0.5185	23.64	24	*	*	*	*
SC	20072008	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	42941	14.76	13.00	0.4483	24.15	24	*	*	*	*
SC	20082009	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	46154	15.27	13.00	0.5000	21.67	22	*	*	*	*
SC	19981999	01	0018	005	LINCOLN ELEMENTARY SCHOOL	33345	16.00	10.00	0.3333	23.31	*	*	*	*	*
SC	20032004	01	0018	005	LINCOLN ELEMENTARY SCHOOL	55926	13.39	*	*	23.83	*	*	*	*	*
SC	20052006	01	0018	005	LINCOLN ELEMENTARY SCHOOL	41209	13.84	10.00	0.4000	22.60	23	*	*	*	*
SC	20062007	01	0018	005	LINCOLN ELEMENTARY SCHOOL	44870	16.40	10.00	0.4000	22.59	23	*	*	*	*
SC	20072008	01	0018	005	LINCOLN ELEMENTARY SCHOOL	45264	16.73	13.00	0.5000	23.64	23	*	*	*	*
SC	20082009	01	0018	005	LINCOLN ELEMENTARY SCHOOL	46507	15.65	12.00	0.4615	23.72	23	*	*	*	*
SC	19981999	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	33222	15.50	12.00	0.3529	28.33	*	*	*	*	*
SC	20032004	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	50159	17.14	15.00	0.5357	27.99	*	*	*	*	*
SC	20052006	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	42987	17.89	15.00	0.5357	25.84	26	*	*	*	*
SC	20062007	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	44924	19.11	14.00	0.5000	25.04	25	*	*	*	*
SC	20072008	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	44461	17.93	13.00	0.4643	25.24	25	*	*	*	*
SC	20082009	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	45089	15.57	14.00	0.5000	22.96	23	*	*	*	*
SC	19981999	01	0018	007	MORTON ELEMENTARY SCHOOL	32412	17.86	*	*	18.92	*	*	*	*	*
SC	20032004	01	0018	007	MORTON ELEMENTARY SCHOOL	86548	19.32	10.00	0.4545	18.31	*	*	*	*	*
SC	20052006	01	0018	007	MORTON ELEMENTARY SCHOOL	42883	20.05	11.00	0.5000	18.24	18	*	*	*	*
SC	20062007	01	0018	007	MORTON ELEMENTARY SCHOOL	44545	19.39	12.00	0.5217	19.66	20	*	*	*	*
SC	20072008	01	0018	007	MORTON ELEMENTARY SCHOOL	45932	18.79	14.00	0.5833	20.21	20	*	*	*	*
SC	20082009	01	0018	007	MORTON ELEMENTARY SCHOOL	48352	18.46	15.00	0.6250	19.77	20	*	*	*	*
SC	19981999	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	34911	20.00	*	*	*	*	*	*	*	*
SC	20032004	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	*	17.00	*	*	*	*	*	*	*	*
SC	20052006	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	42146	16.72	11.00	0.6111	*	10	*	*	*	*
SC	20062007	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	41739	14.75	10.00	0.6250	*	*	*	*	*	*
SC	20072008	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	44938	17.79	12.00	0.6316	10.48	10	*	*	*	*
SC	20082009	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	45579	16.26	*	*	11.31	11	*	*	*	*
DI	19981999	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	36400	20.10	18.00	0.5806	30.50	*	*	*	*	*
DI	20032004	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	47412	23.31	19.00	0.5938	31.50	*	*	*	*	*
DI	20052006	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	45640	22.00	19.00	0.5938	31.50	32	*	*	*	*
DI	20062007	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	42614	17.82	25.00	0.3731	64.20	64	*	*	*	*
DI	20072008	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	41891	15.84	27.00	0.3913	67.67	68	*	*	*	*
DI	20082009	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	44328	16.55	24.00	0.3636	65.10	65	*	*	*	*
SC	19981999	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	36400	20.10	18.00	0.5806	30.50	*	*	*	*	*
SC	20032004	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	49634	23.31	19.00	0.5938	31.50	*	*	*	*	*
SC	20052006	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	45640	22.00	19.00	0.5938	31.50	32	*	*	*	*
SC	20062007	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	45274	19.00	19.00	0.5938	31.50	32	*	*	*	*
SC	20072008	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	43655	15.91	18.00	0.5143	33.61	34	*	*	*	*
SC	20082009	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	45395	16.00	17.00	0.5000	33.60	34	*	*	*	*
SC	20062007	01	0090	002	JUNIATA ELEMENTARY SCHOOL	41276	18.92	*	*	10.70	11	*	*	*	*
SC	20072008	01	0090	002	JUNIATA ELEMENTARY SCHOOL	41256	18.58	*	*	10.27	10	*	*	*	*
SC	20082009	01	0090	002	JUNIATA ELEMENTARY SCHOOL	43982	21.00	*	*	*	*	*	*	*	*
SC	20062007	01	0090	003	ADAMS COUNTY 15	39440	14.71	*	*	*	*	*	*	*	*
SC	20072008	01	0090	003	ADAMS COUNTY 15	36569	11.20	*	*	*	*	*	*	*	*
SC	20082009	01	0090	003	ADAMS COUNTY 15	43681	15.00	*	*	*	*	*	*	*	*
SC	20062007	01	0090	004	TRI-VIEW SCHOOL	44336	23.67	*	*	*	*	*	*	*	*
SC	20072008	01	0090	004	TRI-VIEW SCHOOL	41799	15.40	*	*	*	*	*	*	*	*
SC	20082009	01	0090	004	TRI-VIEW SCHOOL	45584	23.33	*	*	*	*	*	*	*	*
SC	20062007	01	0090	005	AYR SCHOOL	35768	14.67	*	*	*	*	*	*	*	*
SC	20072008	01	0090	005	AYR SCHOOL	36436	15.75	*	*	*	*	*	*	*	*
SC	20082009	01	0090	005	AYR SCHOOL	39923	14.50	*	*	*	*	*	*	*	*
SC	20062007	01	0090	006	WALLACE SCHOOL	39032	13.55	*	*	*	10	*	*	*	*
SC	20072008	01	0090	006	WALLACE SCHOOL	36763	13.82	*	*	*	10	*	*	*	*
SC	20082009	01	0090	006	WALLACE SCHOOL	42920	14.00	*	*	*	*	*	*	*	*
DI	19981999	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	30488	16.89	*	*	24.05	*	*	*	*	*
DI	20032004	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	33907	14.91	*	*	22.75	*	*	*	*	*
DI	20052006	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	34999	16.11	*	*	25.17	25	*	*	*	*
DI	20062007	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	36393	16.75	*	*	26.22	26	*	*	*	*
DI	20072008	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	43884	18.20	*	*	23.55	24	*	*	*	*
DI	20082009	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	39829	17.00	11.00	0.4400	24.05	24	*	*	*	*
SC	19981999	01	0123	001	SILVER LAKE HIGH SCHOOL	30020	15.43	*	*	12.36	*	*	*	*	*
SC	20032004	01	0123	001	SILVER LAKE HIGH SCHOOL	41729	15.77	*	*	12.00	*	*	*	*	*
SC	20052006	01	0123	001	SILVER LAKE HIGH SCHOOL	35784	17.35	*	*	12.92	13	*	*	*	*
SC	20062007	01	0123	001	SILVER LAKE HIGH SCHOOL	37040	17.63	*	*	12.42	12	*	*	*	*
SC	20072008	01	0123	001	SILVER LAKE HIGH SCHOOL	44039	19.00	*	*	12.75	13	*	*	*	*
SC	20082009	01	0123	001	SILVER LAKE HIGH SCHOOL	39256	17.53	*	*	14.25	14	*	*	*	*
SC	19981999	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	30537	18.80	*	*	*	*	*	*	*	*
SC	20032004	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	40514	14.67	*	*	10.75	*	*	*	*	*
SC	20052006	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	34386	14.53	*	*	12.25	12	*	*	*	*
