Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	Hispanic	American Indian / Alaskan Native	Asian	Black or African American	Native Hawaiian or Other Pacific Islander	White	Two or More Races
ST	20002001	00	0000	000	STATE OF NEBRASKA	34258	16.03	11010.00	0.4359	20479.84	*	*	*	*	*	*	*
ST	20052006	00	0000	000	STATE OF NEBRASKA	40382	15.62	9610.00	0.3908	23586.92	*	*	*	*	*	*	*
ST	20072008	00	0000	000	STATE OF NEBRASKA	43629	15.30	10242.00	0.4080	24193.13	*	*	*	*	*	*	*
ST	20082009	00	0000	000	STATE OF NEBRASKA	44968	15.19	10712.00	0.4241	24331.56	*	*	*	*	*	*	*
ST	20092010	00	0000	000	STATE OF NEBRASKA	46227	15.26	11207.00	0.4410	24467.68	*	*	*	*	*	*	*
ST	20102011	00	0000	000	STATE OF NEBRASKA	47402	15.24	11692.00	0.4572	24633.92	344	42	63	182	10	23878	115
NT	20052006	00	0000	000	NORTHERN TIER REPORT	35449	17.14	112.00	0.5744	190.77	*	*	*	*	*	*	*
DI	20002001	01	0003	000	KENESAW PUBLIC SCHOOLS	29166	14.71	*	*	20.30	*	*	*	*	*	*	*
DI	20052006	01	0003	000	KENESAW PUBLIC SCHOOLS	34357	17.40	*	*	19.12	*	*	*	*	*	*	*
DI	20072008	01	0003	000	KENESAW PUBLIC SCHOOLS	36036	16.45	*	*	20.62	*	*	*	*	*	*	*
DI	20082009	01	0003	000	KENESAW PUBLIC SCHOOLS	37835	16.82	*	*	20.80	*	*	*	*	*	*	*
DI	20092010	01	0003	000	KENESAW PUBLIC SCHOOLS	39480	17.91	*	*	20.80	*	*	*	*	*	*	*
DI	20102011	01	0003	000	KENESAW PUBLIC SCHOOLS	41345	18.82	*	*	20.80	*	*	*	*	*	21	*
SC	20002001	01	0003	001	KENESAW SECONDARY SCHOOL	30770	16.92	*	*	10.40	*	*	*	*	*	*	*
SC	20052006	01	0003	001	KENESAW SECONDARY SCHOOL	35252	18.50	*	*	10.97	*	*	*	*	*	*	*
SC	20072008	01	0003	001	KENESAW SECONDARY SCHOOL	37360	17.47	*	*	11.37	*	*	*	*	*	*	*
SC	20082009	01	0003	001	KENESAW SECONDARY SCHOOL	38959	17.53	*	*	11.10	*	*	*	*	*	*	*
SC	20092010	01	0003	001	KENESAW SECONDARY SCHOOL	40505	18.67	*	*	11.00	*	*	*	*	*	*	*
SC	20102011	01	0003	001	KENESAW SECONDARY SCHOOL	42192	19.53	*	*	11.20	*	*	*	*	*	11	*
SC	20002001	01	0003	002	KENESAW ELEMENTARY SCHOOL	27912	13.62	*	*	*	*	*	*	*	*	*	*
SC	20052006	01	0003	002	KENESAW ELEMENTARY SCHOOL	33200	15.00	*	*	*	*	*	*	*	*	*	*
SC	20072008	01	0003	002	KENESAW ELEMENTARY SCHOOL	35663	15.92	*	*	*	*	*	*	*	*	*	*
