Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master’s Degrees	Teacher FTE	AM_5	AS_5	BL_5	HI_5	WH_5	AM_7	AS_7	BL_7	HI_7	PI_7	WH_7	MU_7	DataAsOf	
ST	20082009	00	0000	000	STATE OF NEBRASKA	44968	15.19	10712	0.4241	24331.56	38.25	70.72	217.92	261.54	23743.13								11/26/2012	
ST	20092010	00	0000	000	STATE OF NEBRASKA	46227	15.26	11207	0.4410	24467.68	40.50	81.12	212.23	282.96	23850.87								11/26/2012	
ST	20102011	00	0000	000	STATE OF NEBRASKA	47402	15.24	11692	0.4572	24633.92						41.80	63.47	181.83	344.35	10.00	23877.92	114.55	11/26/2012	
ST	20112012	00	0000	000	STATE OF NEBRASKA	48154	15.19	11889	0.4746	24131.83						43.00	72.57	198.00	382.30	13.88	23271.98	150.10	11/26/2012	
ST	20122013	00	0000	000	STATE OF NEBRASKA	48995	15.03	12401	0.4927	24253.79						37.75	73.60	205.61	411.84	13.38	23408.46	103.15	07/05/2013	
DI	20082009	01	0003	000	KENESAW PUBLIC SCHOOLS	37835	16.82	2	0.0909	20.80	0.00	0.00	0.00	0.00	20.80								11/26/2012	
DI	20092010	01	0003	000	KENESAW PUBLIC SCHOOLS	39480	17.91	6	0.2727	20.80	0.00	0.00	0.00	0.00	20.80								11/26/2012	
DI	20102011	01	0003	000	KENESAW PUBLIC SCHOOLS	41345	18.82	6	0.2727	20.80						0.00	0.00	0.00	0.00	0.00	20.80	0.00	11/26/2012	
DI	20112012	01	0003	000	KENESAW PUBLIC SCHOOLS	42189	20.09	7	0.3182	20.50						0.00	0.00	0.00	0.00	0.00	20.50	0.00	11/26/2012	
DI	20122013	01	0003	000	KENESAW PUBLIC SCHOOLS	43949	20.38	7	0.3333	20.30						0.00	0.00	0.00	0.00	0.00	20.30	0.00	07/05/2013	
SC	20082009	01	0003	001	KENESAW SECONDARY SCHOOL	38959	17.53	2	0.1333	11.10	0.00	0.00	0.00	0.00	11.10								11/26/2012	
SC	20092010	01	0003	001	KENESAW SECONDARY SCHOOL	40505	18.67	5	0.3333	11.00	0.00	0.00	0.00	0.00	11.00								11/26/2012	
SC	20102011	01	0003	001	KENESAW SECONDARY SCHOOL	42192	19.53	5	0.3333	11.20						0.00	0.00	0.00	0.00	0.00	11.20	0.00	11/26/2012	
SC	20112012	01	0003	001	KENESAW SECONDARY SCHOOL	42763	21.50	6	0.4286	11.50						0.00	0.00	0.00	0.00	0.00	11.50	0.00	11/26/2012	
SC	20122013	01	0003	001	KENESAW SECONDARY SCHOOL	44542	21.46	6	0.4615	10.90						0.00	0.00	0.00	0.00	0.00	10.90	0.00	07/05/2013	
SC	20082009	01	0003	002	KENESAW ELEMENTARY SCHOOL	36856	15.75	0	0.0000	9.70	0.00	0.00	0.00	0.00	9.70								11/26/2012	
SC	20092010	01	0003	002	KENESAW ELEMENTARY SCHOOL	39423	16.75	2	0.1667	9.80	0.00	0.00	0.00	0.00	9.80								11/26/2012	
SC	20102011	01	0003	002	KENESAW ELEMENTARY SCHOOL	41429	17.58	2	0.1667	9.60						0.00	0.00	0.00	0.00	0.00	9.60	0.00	11/26/2012	
SC	20112012	01	0003	002	KENESAW ELEMENTARY SCHOOL	42300	19.18	2	0.1818	9.00						0.00	0.00	0.00	0.00	0.00	9.00	0.00	11/26/2012	
SC	20122013	01	0003	002	KENESAW ELEMENTARY SCHOOL	44146	20.18	3	0.2727	9.40						0.00	0.00	0.00	0.00	0.00	9.40	0.00	07/05/2013	
DI	20082009	01	0018	000	HASTINGS PUBLIC SCHOOLS	46889	15.63	130	0.5350	238.61	0.00	0.00	1.64	0.00	236.97								11/26/2012	
DI	20092010	01	0018	000	HASTINGS PUBLIC SCHOOLS	48501	16.05	136	0.5484	244.05	0.00	0.00	2.00	1.00	241.05								11/26/2012	
DI	20102011	01	0018	000	HASTINGS PUBLIC SCHOOLS	50042	15.38	143	0.5697	247.37						1.00	1.00	2.00	2.00	1.00	240.37	0.00	11/26/2012	
DI	20112012	01	0018	000	HASTINGS PUBLIC SCHOOLS	50228	15.59	147	0.5810	248.38						1.00	1.00	2.00	3.00	1.00	240.38	0.00	11/26/2012	
DI	20122013	01	0018	000	HASTINGS PUBLIC SCHOOLS	50442	15.09	156	0.6070	252.28						1.00	0.00	2.00	4.00	1.00	244.28	0.00	07/05/2013	
SC	20082009	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	48673	17.16	42	0.5676	70.73	0.00	0.00	0.00	0.00	70.73								11/26/2012	
SC	20092010	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	50533	18.38	45	0.6250	70.14	0.00	0.00	0.00	0.00	70.14								11/26/2012	
SC	20102011	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	52758	18.07	44	0.6111	69.26						0.00	0.00	0.00	1.00	1.00	67.26	0.00	11/26/2012	
SC	20112012	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	52182	17.51	46	0.6479	68.69						0.00	0.00	0.00	1.00	1.00	66.69	0.00	11/26/2012	
SC	20122013	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	52853	17.10	53	0.7361	69.44						0.00	0.00	0.00	2.00	1.00	66.44	0.00	07/05/2013	
SC	20082009	01	0018	002	HASTINGS MIDDLE SCHOOL	45829	15.46	32	0.5714	48.79	0.00	0.00	0.00	0.00	48.79								11/26/2012	
SC	20092010	01	0018	002	HASTINGS MIDDLE SCHOOL	48824	16.66	36	0.6429	50.05	0.00	0.00	1.00	0.00	49.05								11/26/2012	
SC	20102011	01	0018	002	HASTINGS MIDDLE SCHOOL	50422	15.81	39	0.6724	51.38						0.00	0.00	1.00	0.00	0.00	50.38	0.00	11/26/2012	
SC	20112012	01	0018	002	HASTINGS MIDDLE SCHOOL	49027	14.44	32	0.5926	49.27						0.00	0.00	1.00	0.00	0.00	48.27	0.00	11/26/2012	
